Player,90s,Gls,Ast,npxG,xAG,npxG+xAG,PrgC,CrsPA,Sh,SoT,G/Sh,G/SoT,Crs,Att,Succ,Succ%,Carries,Rec,PrgR,SCA,PassLive,PassDead,TO,Def,GCA
Mojmir Chytil,1.2,0,0,0.2,0.1,0.3,0,0,2,0,0.0,0.0,2,3,1,33.3,19,23,2,2,1,0,0,0,1
Kingsley Coman,0.2,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,11,11,3,1,1,0,0,0,0
Francisco Conceição,1.5,1,0,0.9,1.0,1.9,10,2,4,1,0.25,1.0,13,13,5,38.5,90,97,28,8,5,0,0,0,0
Kevin Csoboth,0.1,1,0,0.6,0.0,0.6,1,0,2,1,0.5,1.0,0,1,0,0.0,10,9,1,3,2,0,0,0,1
Mirlind Daku,0.1,0,0,0.1,0.1,0.2,1,0,1,0,0.0,0.0,0,0,0,0.0,6,7,2,2,2,0,0,0,0
Charles De Ketelaere,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Ousmane Dembélé,2.5,0,0,0.4,0.7,1.1,21,2,5,1,0.0,0.0,14,20,8,40.0,105,102,24,14,9,2,1,0,1
Jeremy Doku,3.6,0,0,0.2,0.6,0.8,30,0,5,1,0.0,0.0,8,36,16,44.4,121,134,31,19,12,0,6,0,1
Kasper Dolberg,0.4,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0.0,4,9,3,0,0,0,0,0,0
Artem Dovbyk,2.7,0,0,0.6,0.6,1.2,2,0,6,0,0.0,0.0,0,2,2,100.0,33,36,12,8,6,0,1,0,0
Denis Drăguș,3.2,1,0,1.1,0.1,1.1,2,1,5,2,0.2,0.5,1,10,6,60.0,46,61,13,4,3,0,1,0,1
Kwadwo Duah,1.2,1,0,0.7,0.0,0.7,1,0,4,3,0.25,0.33,1,0,0,0.0,17,28,5,0,0,0,0,0,0
Dávid Ďuriš,0.3,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Breel Embolo,2.1,1,0,1.1,0.0,1.2,4,0,3,2,0.33,0.5,1,7,3,42.9,50,51,8,2,1,0,0,0,0
