,Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
401,387,António Silva,DF,pt Portugal,20-256,2003,0.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,1,Matches
402,388,Bernardo Silva,"FW,MF",pt Portugal,29-337,1994,4.7,5,4,1,3,1,1,6,16.7,5,2,0,2,0,5,3,0,Matches
403,389,Unai Simón,GK,es Spain,27-031,1997,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
404,390,Xavi Simons,"MF,FW",nl Netherlands,21-082,2003,5.0,8,5,3,4,1,5,6,83.3,1,7,0,7,5,13,0,0,Matches
405,391,Michał Skóraś,DF,pl Poland,24-148,2000,0.3,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,Matches
406,392,Łukasz Skorupski,GK,pl Poland,33-068,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
407,393,Andreas Skov Olsen,"MF,FW",dk Denmark,24-196,1999,1.4,1,1,0,0,1,1,2,50.0,1,2,0,2,0,1,2,0,Matches
408,394,Milan Škriniar,DF,sk Slovakia,29-152,1995,4.3,3,1,3,0,0,2,4,50.0,2,4,4,0,2,5,17,0,Matches
409,395,Bartosz Slisz,MF,pl Poland,25-105,1999,1.2,1,1,0,0,1,0,0,,0,1,0,1,2,3,3,0,Matches
410,396,Yann Sommer,GK,ch Switzerland,35-208,1988,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
411,397,Deian Sorescu,"MF,DF",ro Romania,26-318,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
412,398,Borna Sosa,DF,hr Croatia,26-173,1998,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
413,399,Tomáš Souček,MF,cz Czechia,29-136,1995,3.0,5,3,2,2,1,3,6,50.0,3,6,2,4,3,8,5,0,Matches
414,400,Andraž Šporar,FW,si Slovenia,30-136,1994,3.8,2,2,1,0,1,1,1,100.0,0,2,1,1,0,2,4,0,Matches
416,401,Nicolae Stanciu,"MF,FW",ro Romania,31-066,1993,3.9,3,2,1,2,0,1,4,25.0,3,1,1,0,1,4,5,0,Matches
417,402,Jindřich Staněk,GK,cz Czechia,28-076,1996,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
418,403,Josip Stanišić,DF,hr Croatia,24-101,2000,2.0,10,8,3,5,2,5,9,55.6,4,3,1,2,4,14,2,0,Matches
419,404,Renato Steffen,DF,ch Switzerland,32-252,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
420,405,Taras Stepanenko,MF,ua Ukraine,34-339,1989,0.9,3,3,3,0,0,3,5,60.0,2,2,1,1,1,4,2,0,Matches
421,406,Leonidas Stergiou,DF,ch Switzerland,22-131,2002,0.5,4,2,3,1,0,1,3,33.3,2,0,0,0,0,4,4,0,Matches
422,407,Petar Stojanović,MF,si Slovenia,28-279,1995,3.5,6,5,5,1,0,3,8,37.5,5,4,1,3,1,7,4,0,Matches
423,408,John Stones,DF,eng England,30-045,1994,6.7,4,3,2,1,1,2,2,100.0,0,2,2,0,1,5,14,0,Matches
424,409,Thomas Strakosha,GK,al Albania,29-115,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
425,410,Dávid Strelec,FW,sk Slovakia,23-099,2001,2.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
426,411,Callum Styles,MF,hu Hungary,24-106,2000,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
427,412,Luka Sučić,"FW,MF",hr Croatia,21-308,2002,1.6,0,0,0,0,0,0,0,,0,4,0,4,1,1,1,0,Matches
428,413,Heorhiy Sudakov,MF,ua Ukraine,21-315,2002,2.9,3,1,2,1,0,3,4,75.0,1,4,1,3,0,3,1,0,Matches
429,414,Pavel Šulc,MF,cz Czechia,23-196,2000,0.9,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,2,0,Matches
430,415,Tomáš Suslov,"FW,MF",sk Slovakia,22-035,2002,1.4,4,1,1,3,0,1,4,25.0,3,4,0,4,1,5,0,0,Matches
431,416,Josip Šutalo,DF,hr Croatia,24-135,2000,3.0,5,3,5,0,0,2,3,66.7,1,6,5,1,13,18,7,1,Matches
432,417,Oleksandr Svatok,DF,ua Ukraine,29-289,1994,0.9,0,0,0,0,0,0,0,,0,2,1,1,3,3,2,0,Matches
433,418,Karol Świderski,FW,pl Poland,27-171,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
434,419,Serhiy Sydorchuk,MF,ua Ukraine,33-071,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
435,420,Attila Szalai,DF,hu Hungary,26-174,1998,1.1,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,2,0,Matches
436,421,Wojciech Szczęsny,GK,pl Poland,34-085,1990,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
437,422,Dominik Szoboszlai,MF,hu Hungary,23-261,2000,3.0,2,0,0,1,1,0,0,,0,4,1,3,2,4,6,0,Matches
438,423,Sebastian Szymański,MF,pl Poland,25-063,1999,1.2,7,2,5,2,0,5,10,50.0,5,3,1,2,3,10,1,0,Matches
439,424,Dušan Tadić,MF,rs Serbia,35-235,1988,1.7,2,2,0,1,1,0,0,,0,1,0,1,1,3,3,0,Matches
440,425,Jonathan Tah,DF,de Germany,28-152,1996,3.5,2,1,1,1,0,1,1,100.0,0,2,1,1,4,6,11,0,Matches
442,426,Maksym Talovierov,MF,ua Ukraine,24-014,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
443,427,Aurélien Tchouaméni,MF,fr France,24-167,2000,5.2,9,7,3,4,2,3,8,37.5,5,2,1,1,5,14,10,1,Matches
444,428,Arthur Theate,DF,be Belgium,24-048,2000,2.8,2,2,0,0,2,0,1,0.0,1,5,0,5,2,4,9,0,Matches
445,429,Marcus Thuram,FW,fr France,26-341,1997,2.9,2,2,0,0,2,0,0,,0,6,2,4,0,2,2,0,Matches
446,430,Youri Tielemans,MF,be Belgium,27-066,1997,1.6,2,2,1,1,0,0,1,0.0,1,3,1,2,1,3,0,0,Matches
447,431,Kieran Tierney,DF,sct Scotland,27-037,1997,1.5,2,1,2,0,0,1,3,33.3,2,1,1,0,0,2,4,0,Matches
448,432,Ivan Toney,FW,eng England,28-118,1996,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
449,433,Ferrán Torres,"FW,MF",es Spain,24-134,2000,1.7,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0,Matches
450,434,Cenk Tosun,FW,tr Türkiye,33-035,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
451,435,Gernot Trauner,DF,at Austria,32-109,1992,1.0,2,1,2,0,0,0,1,0.0,1,2,2,0,1,3,1,0,Matches
452,436,Kieran Trippier,DF,eng England,33-297,1990,5.0,7,4,3,3,1,3,8,37.5,5,3,1,2,5,12,8,0,Matches
453,437,Leandro Trossard,FW,be Belgium,29-221,1994,1.9,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
454,438,Anatolii Trubin,GK,ua Ukraine,22-346,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
455,439,Heorhii Tsitaishvili,"DF,MF",ge Georgia,23-237,2000,2.1,5,4,5,0,0,3,3,100.0,0,0,0,0,0,5,3,1,Matches
456,440,Viktor Tsyhankov,FW,ua Ukraine,26-240,1997,0.7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
457,441,Ľubomír Tupta,MF,sk Slovakia,26-107,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
458,442,Oleksandr Tymchyk,DF,ua Ukraine,27-174,1997,2.2,10,4,5,5,0,6,12,50.0,6,2,0,2,3,13,6,0,Matches
459,443,Deniz Undav,MF,de Germany,27-359,1996,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
460,444,Dayot Upamecano,DF,fr France,25-259,1998,6.3,9,7,6,3,0,5,6,83.3,1,3,1,2,6,15,24,0,Matches
461,445,Kacper Urbanski,"FW,MF",pl Poland,19-309,2004,1.6,2,1,2,0,0,1,3,33.3,2,2,0,2,1,3,2,0,Matches
462,446,Virgil van Dijk,DF,nl Netherlands,33-004,1991,6.0,4,2,4,0,0,1,1,100.0,0,5,4,1,2,6,36,1,Matches
463,447,Vladyslav Vanat,FW,ua Ukraine,22-190,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
464,448,Barnabás Varga,FW,hu Hungary,30-169,1994,2.8,4,1,1,2,1,2,2,100.0,0,5,1,4,1,5,7,0,Matches
465,449,Ruben Vargas,"MF,FW",ch Switzerland,25-342,1998,3.4,6,5,3,2,1,2,4,50.0,2,5,0,5,2,8,4,1,Matches
466,450,Denis Vavro,DF,sk Slovakia,28-093,1996,4.3,2,1,2,0,0,2,4,50.0,2,6,5,1,2,4,18,0,Matches
468,451,Joey Veerman,MF,nl Netherlands,25-236,1998,2.3,3,1,1,1,1,3,7,42.9,4,4,1,3,1,4,1,0,Matches
469,452,Miloš Veljković,DF,rs Serbia,28-290,1995,3.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,6,0,Matches
470,453,Micky van de Ven,DF,nl Netherlands,23-084,2001,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,5,0,Matches
471,454,Benjamin Verbič,MF,si Slovenia,30-228,1993,0.8,3,2,1,2,0,1,3,33.3,2,0,0,0,1,4,2,0,Matches
472,455,Bart Verbruggen,GK,nl Netherlands,21-329,2002,6.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0,Matches
473,456,Jan Vertonghen,DF,be Belgium,37-079,1987,3.0,4,2,1,3,0,0,0,,0,2,1,1,0,4,10,0,Matches
474,457,Jannik Vestergaard,DF,dk Denmark,31-344,1992,4.0,3,3,3,0,0,3,3,100.0,0,3,2,1,4,7,12,0,Matches
475,458,Žan Vipotnik,FW,si Slovenia,22-116,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
476,459,Vitinha,MF,pt Portugal,24-150,2000,4.0,3,3,0,2,1,1,3,33.3,2,3,1,2,2,5,3,0,Matches
477,460,Daniel Vivian,DF,es Spain,24-363,1999,1.4,2,2,2,0,0,2,3,66.7,1,1,1,0,1,3,10,0,Matches
478,461,Dušan Vlahović,"MF,FW",rs Serbia,24-166,2000,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
479,462,Stefan de Vrij,DF,nl Netherlands,32-158,1992,6.0,12,7,7,4,1,8,10,80.0,2,6,2,4,2,14,20,0,Matches
480,463,Kyle Walker,DF,eng England,34-045,1990,6.7,5,2,2,2,1,2,4,50.0,2,5,1,4,5,10,6,0,Matches
481,464,Ollie Watkins,FW,eng England,28-195,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
482,465,Wout Weghorst,FW,nl Netherlands,31-340,1992,1.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,2,0,Matches
483,466,Andreas Weimann,FW,at Austria,32-342,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
484,467,Silvan Widmer,DF,ch Switzerland,31-129,1993,3.3,2,1,1,1,0,1,1,100.0,0,3,1,2,2,4,11,0,Matches
485,468,Georginio Wijnaldum,MF,nl Netherlands,33-244,1990,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
486,469,Nico Williams,FW,es Spain,22-000,2002,4.5,3,2,0,1,2,1,5,20.0,4,4,0,4,0,3,1,0,Matches
487,470,Patrick Wimmer,"FW,MF",at Austria,23-043,2001,1.5,2,2,0,2,0,1,5,20.0,4,4,0,4,0,2,1,0,Matches
488,471,Jonas Wind,FW,dk Denmark,25-156,1999,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
489,472,Florian Wirtz,"FW,MF",de Germany,21-070,2003,3.1,3,3,0,2,1,1,3,33.3,2,3,0,3,1,4,1,0,Matches
490,473,Maximilian Wöber,DF,at Austria,26-159,1998,1.9,4,3,2,2,0,2,3,66.7,1,3,2,1,4,8,6,0,Matches
491,474,Granit Xhaka,MF,ch Switzerland,31-289,1992,5.3,8,5,3,4,1,4,6,66.7,2,5,4,1,1,9,15,0,Matches
492,475,Lamine Yamal,FW,es Spain,16-365,2007,4.6,10,6,5,4,1,4,8,50.0,4,5,0,5,3,13,1,0,Matches
494,476,Roman Yaremchuk,FW,ua Ukraine,28-228,1995,1.3,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,1,0,Matches
495,477,Andriy Yarmolenko,"FW,MF",ua Ukraine,34-263,1989,1.2,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,0,0,Matches
496,478,Yusuf Yazıcı,"MF,FW",tr Türkiye,27-165,1997,0.6,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,Matches
497,479,Kenan Yıldız,"FW,MF",tr Türkiye,19-069,2005,3.8,3,2,2,1,0,2,2,100.0,0,4,0,4,0,3,2,0,Matches
498,480,Okay Yokuşlu,"MF,DF",tr Türkiye,30-125,1994,0.6,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,4,0,Matches
499,481,İsmail Yüksek,MF,tr Türkiye,25-168,1999,1.7,6,2,2,3,1,3,5,60.0,2,2,1,1,1,7,4,0,Matches
500,482,Illia Zabarnyi,DF,ua Ukraine,21-315,2002,3.0,4,3,4,0,0,1,2,50.0,1,2,2,0,1,5,7,0,Matches
501,483,Mattia Zaccagni,"MF,FW",it Italy,29-026,1995,0.9,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,Matches
502,484,Denis Zakaria,MF,ch Switzerland,27-235,1996,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
503,485,Nicola Zalewski,DF,pl Poland,22-171,2002,2.7,3,1,2,1,0,1,5,20.0,4,2,1,1,2,5,4,0,Matches
504,486,Piotr Zieliński,MF,pl Poland,30-053,1994,2.8,0,0,0,0,0,0,2,0.0,2,4,0,4,2,2,3,0,Matches
505,487,Oleksandr Zinchenko,DF,ua Ukraine,27-210,1996,2.4,6,5,4,1,1,4,8,50.0,4,4,1,3,1,7,4,0,Matches
506,488,Joshua Zirkzee,"FW,DF",nl Netherlands,23-051,2001,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
507,489,Andrija Živković,DF,rs Serbia,28-001,1996,2.7,2,2,2,0,0,1,2,50.0,1,3,0,3,0,2,5,0,Matches
508,490,Budu Zivzivadze,"FW,MF",ge Georgia,30-124,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
509,491,Steven Zuber,MF,ch Switzerland,32-330,1991,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
510,492,Martín Zubimendi,MF,es Spain,25-161,1999,1.1,5,3,2,2,1,2,4,50.0,2,1,1,0,0,5,0,0,Matches
511,493,Oleksandr Zubkov,FW,ua Ukraine,27-344,1996,0.3,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,1,0,Matches
