,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
232,225,Nuno Mendes,"DF,MF",pt Portugal,22-003,2002,1,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,4,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
234,226,Mikel Merino,MF,es Spain,28-000,1996,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
235,227,Valentin Mihaila,MF,ro Romania,24-141,2000,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
236,228,Georges Mikautadze,FW,ge Georgia,23-235,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,2,2,5,1.0,0.0,1.0,1.0,1.0,0.68,0.17,0.85,0.68,0.85,Matches
237,229,Nikola Milenković,DF,rs Serbia,26-254,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
238,230,Sergej Milinković-Savić,MF,rs Serbia,29-116,1995,2,1,117,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,5,7,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches
239,231,Mario Mitaj,DF,al Albania,20-321,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
240,232,Aleksandar Mitrović,FW,rs Serbia,29-280,1994,2,2,150,1.7,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,2,7,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61,Matches
241,233,Maximilian Mittelstädt,DF,de Germany,27-096,1997,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.5,6,7,27,0.0,0.5,0.5,0.0,0.5,0.06,0.17,0.23,0.06,0.23,Matches
242,234,Filip Mladenović,DF,rs Serbia,32-312,1991,2,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
243,235,Jan Mlakar,MF,si Slovenia,25-243,1998,2,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
244,236,Jakub Moder,MF,pl Poland,25-076,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,5,4,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63,0.63,0.63,Matches
245,237,Luka Modrić,MF,hr Croatia,38-287,1985,2,2,154,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,9,16,7,0.0,0.0,0.0,0.0,0.0,0.04,0.36,0.4,0.04,0.4,Matches
246,238,Álvaro Morata,FW,es Spain,31-243,1992,2,2,143,1.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,3,1,8,0.63,0.0,0.63,0.63,0.63,0.56,0.24,0.8,0.56,0.8,Matches
247,239,Ernest Muçi,FW,al Albania,23-095,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
248,240,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-169,2001,2,2,174,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,11,7,16,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.44,0.23,0.44,Matches
249,241,Mert Müldür,DF,tr Türkiye,25-080,1999,1,1,84,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,3,2,4,1.07,0.0,1.07,1.07,1.07,0.59,0.03,0.62,0.59,0.62,Matches
250,242,Thomas Müller,FW,de Germany,34-283,1989,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,5.29,5.29,0.0,5.29,0.0,0.19,0.19,0.0,0.19,Matches
251,243,Jamal Musiala,FW,de Germany,21-117,2003,2,2,144,1.6,2,0,2,2,0,0,0,0,0.4,0.4,0.0,0.4,13,8,13,1.25,0.0,1.25,1.25,1.25,0.26,0.0,0.26,0.26,0.26,Matches
252,244,Phillipp Mwene,DF,at Austria,30-145,1994,2,2,149,1.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,5,4,13,0.0,0.6,0.6,0.0,0.6,0.0,0.05,0.05,0.0,0.05,Matches
253,245,Joakim Mæhle,"DF,MF",dk Denmark,27-033,1997,2,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
254,246,Nacho,DF,es Spain,34-156,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
255,247,Ádám Nagy,MF,hu Hungary,29-005,1995,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
256,248,Zsolt Nagy,DF,hu Hungary,31-028,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
257,249,Dan Ndoye,"MF,FW",ch Switzerland,23-241,2000,2,2,170,1.9,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,12,2,15,0.0,0.0,0.0,0.0,0.0,0.43,0.06,0.48,0.43,0.48,Matches
258,250,Pedro Neto,MF,pt Portugal,24-105,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
260,251,Manuel Neuer,GK,de Germany,38-087,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
261,252,Florin Niță,GK,ro Romania,36-355,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
262,253,Christian Nørgaard,MF,dk Denmark,30-104,1994,2,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
263,254,Adam Obert,DF,sk Slovakia,21-304,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
264,255,Jan Oblak,GK,si Slovenia,31-167,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
265,256,Dani Olmo,"FW,MF",es Spain,26-046,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
266,257,Amadou Onana,MF,be Belgium,22-311,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
267,258,Loïs Openda,FW,be Belgium,24-127,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.63,Matches
268,259,Willi Orban,DF,hu Hungary,31-232,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,6,1,0.0,0.0,0.0,0.0,0.0,0.24,0.07,0.31,0.24,0.31,Matches
269,260,Mikel Oyarzabal,FW,es Spain,27-062,1997,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
270,261,Salih Özcan,MF,tr Türkiye,26-163,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
271,262,Mario Pašalić,"FW,MF",hr Croatia,29-134,1995,2,0,71,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,5,2,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,Matches
272,263,Strahinja Pavlović,DF,rs Serbia,23-029,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
273,264,Pedri,MF,es Spain,21-210,2002,2,2,128,1.4,0,1,1,0,0,0,0,0,0.7,0.7,0.6,1.3,3,7,8,0.0,0.7,0.7,0.0,0.7,0.51,0.44,0.95,0.51,0.95,Matches
274,265,Peter Pekarík,DF,sk Slovakia,37-236,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,5,6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
275,266,Lorenzo Pellegrini,"FW,MF",it Italy,28-003,1996,2,2,157,1.7,0,1,1,0,0,0,1,0,0.5,0.5,0.4,0.9,6,5,11,0.0,0.57,0.57,0.0,0.57,0.27,0.23,0.5,0.27,0.5,Matches
276,267,Patrick Pentz,GK,at Austria,27-172,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
277,268,Pepe,DF,pt Portugal,41-117,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
278,269,Ayoze Pérez,FW,es Spain,30-329,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,3,0.0,0.0,0.0,0.0,0.0,2.01,0.0,2.01,2.01,2.01,Matches
279,270,Ivan Perišić,"DF,FW",hr Croatia,35-141,1989,2,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,4,15,0.0,0.0,0.0,0.0,0.0,0.09,0.28,0.37,0.09,0.37,Matches
280,271,Bruno Petković,FW,hr Croatia,29-280,1994,2,1,87,1.0,0,0,0,0,0,1,0,0,1.1,0.3,0.1,0.4,2,4,2,0.0,0.0,0.0,0.0,0.0,1.11,0.08,1.2,0.3,0.38,Matches
281,272,Krzysztof Piątek,FW,pl Poland,28-357,1995,1,1,59,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,0,2,1.53,0.0,1.53,1.53,1.53,0.85,0.0,0.85,0.85,0.85,Matches
282,273,Jordan Pickford,GK,eng England,30-107,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
283,274,Jakub Piotrowski,MF,pl Poland,26-262,1997,2,1,58,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.6,0.25,0.6,Matches
284,275,Marin Pongračić,DF,hr Croatia,26-285,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
286,276,Ryan Porteous,DF,sct Scotland,25-089,1999,1,1,43,0.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
287,277,Stefan Posch,DF,at Austria,27-039,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,8,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
288,278,Yussuf Poulsen,FW,dk Denmark,30-007,1994,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
289,279,Alexander Prass,DF,at Austria,23-027,2001,2,0,31,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,2,1,0.0,2.9,2.9,0.0,2.9,0.0,0.34,0.34,0.0,0.34,Matches
290,280,Lukáš Provod,MF,cz Czechia,27-243,1996,1,1,78,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,1.15,0.0,1.15,1.15,1.15,0.08,0.0,0.08,0.08,0.08,Matches
291,281,George Pușcaș,FW,ro Romania,28-075,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
292,282,Adrien Rabiot,MF,fr France,29-080,1995,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,3,11,8,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.26,0.12,0.26,Matches
293,283,Bogdan Racovitan,DF,ro Romania,24-016,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
294,284,Predrag Rajković,GK,rs Serbia,28-235,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
295,285,Anthony Ralston,DF,sct Scotland,25-219,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
296,286,Ylber Ramadani,MF,al Albania,28-071,1996,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
297,287,Giacomo Raspadori,FW,it Italy,24-125,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,Matches
298,288,Andrei Ratiu,DF,ro Romania,26-002,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,3,1,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches
299,289,Tijjani Reijnders,MF,nl Netherlands,25-329,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,8,11,6,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches
300,290,Mateo Retegui,FW,it Italy,25-054,1999,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
301,291,Declan Rice,MF,eng England,25-160,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
302,292,Fabian Rieder,MF,ch Switzerland,22-127,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.98,Matches
303,293,Andrew Robertson,DF,sct Scotland,30-103,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
304,294,Rodri,MF,es Spain,28-000,1996,2,2,175,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,4,10,4,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
305,295,Ricardo Rodríguez,DF,ch Switzerland,31-302,1992,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,6,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
306,296,Taras Romanchuk,MF,pl Poland,32-221,1991,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
307,297,Cristiano Ronaldo,FW,pt Portugal,39-138,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,0,1,8,0.0,0.0,0.0,0.0,0.0,0.73,0.13,0.86,0.73,0.86,Matches
308,298,Antonio Rüdiger,DF,de Germany,31-111,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,0,19,0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches
309,299,Fabián Ruiz Peña,MF,es Spain,28-080,1996,2,2,179,2.0,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.8,6,18,3,0.5,0.5,1.01,0.5,1.01,0.11,0.31,0.43,0.11,0.43,Matches
310,300,Adrian Rus,MF,ro Romania,28-096,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
312,301,Marcel Sabitzer,"FW,MF",at Austria,30-097,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.1,4,5,15,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.54,0.27,0.54,Matches
313,302,Bukayo Saka,FW,eng England,22-291,2001,2,2,143,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,10,3,20,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.17,0.15,0.17,Matches
314,303,Bartosz Salamon,DF,pl Poland,33-052,1991,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
315,304,William Saliba,DF,fr France,23-090,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
316,305,Roland Sallai,MF,hu Hungary,27-031,1997,2,2,176,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,7,3,14,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.44,0.24,0.44,Matches
317,306,Lazar Samardzic,MF,rs Serbia,22-119,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,Matches
318,307,Leroy Sané,FW,de Germany,28-163,1996,2,0,61,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,6,11,0.0,0.0,0.0,0.0,0.0,0.57,0.15,0.72,0.57,0.72,Matches
319,308,Leo Sauer,FW,sk Slovakia,18-189,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
320,309,Gianluca Scamacca,FW,it Italy,25-173,1999,2,2,145,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,2,6,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
321,310,András Schäfer,MF,hu Hungary,25-070,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
322,311,Fabian Schär,DF,ch Switzerland,32-185,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,2,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
323,312,Patrik Schick,FW,cz Czechia,28-150,1996,1,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
324,313,Kasper Schmeichel,GK,dk Denmark,37-230,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
325,314,Romano Schmid,MF,at Austria,24-147,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,3.12,3.12,0.0,3.12,Matches
326,315,Jerdy Schouten,MF,nl Netherlands,27-162,1997,2,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
327,316,Ivan Schranz,FW,sk Slovakia,30-283,1993,2,2,165,1.8,2,0,2,2,0,0,1,0,0.7,0.7,0.3,0.9,3,5,6,1.09,0.0,1.09,1.09,1.09,0.37,0.14,0.51,0.37,0.51,Matches
328,317,Taulant Seferi,FW,al Albania,27-220,1996,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,3,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.12,0.02,0.12,Matches
329,318,Nicolas Seiwald,MF,at Austria,23-049,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,3,9,2,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.02,0.14,Matches
330,319,Nélson Semedo,MF,pt Portugal,30-219,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
331,320,Benjamin Šeško,FW,si Slovenia,21-022,2003,2,2,164,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,3,10,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.31,0.25,0.31,Matches
332,321,Petr Ševčík,MF,cz Czechia,30-049,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.92,0.92,0.92,Matches
333,322,Lawrence Shankland,FW,sct Scotland,28-317,1995,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
334,323,Mykola Shaparenko,MF,ua Ukraine,25-262,1998,2,2,151,1.7,1,1,2,1,0,0,0,0,0.2,0.2,0.1,0.4,5,12,2,0.6,0.6,1.19,0.6,1.19,0.13,0.08,0.21,0.13,0.21,Matches
335,324,Xherdan Shaqiri,MF,ch Switzerland,32-256,1991,1,1,59,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,3,3,1.53,0.0,1.53,1.53,1.53,0.11,0.0,0.11,0.11,0.11,Matches
336,325,Vincent Sierro,MF,ch Switzerland,28-258,1995,2,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
338,326,Bernardo Silva,FW,pt Portugal,29-317,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,5,14,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
339,327,Unai Simón,GK,es Spain,27-011,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
340,328,Xavi Simons,"MF,FW",nl Netherlands,21-062,2003,2,2,133,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,6,7,7,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.33,0.12,0.33,Matches
341,329,Andreas Skov Olsen,FW,dk Denmark,24-176,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.15,4.15,0.0,4.15,Matches
342,330,Milan Škriniar,DF,sk Slovakia,29-132,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,9,0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
343,331,Bartosz Slisz,MF,pl Poland,25-085,1999,2,1,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
344,332,Yann Sommer,GK,ch Switzerland,35-188,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
345,333,Borna Sosa,DF,hr Croatia,26-153,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
346,334,Tomáš Souček,MF,cz Czechia,29-116,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
347,335,Andraž Šporar,FW,si Slovenia,30-116,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.9,0.9,0.6,1.5,2,0,11,0.0,0.0,0.0,0.0,0.0,0.46,0.32,0.78,0.46,0.78,Matches
348,336,Nicolae Stanciu,MF,ro Romania,31-046,1993,1,1,86,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,2,1,1.05,0.0,1.05,1.05,1.05,0.18,0.0,0.18,0.18,0.18,Matches
349,337,Jindřich Staněk,GK,cz Czechia,28-056,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
