,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
184,178,Robin Hranáč,DF,cz Czechia,24-161,2000,3.0,0,2,0,0.0,0.67,0.0,0.0,,9.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
185,179,Elseid Hysaj,DF,al Albania,30-139,1994,2.0,0,2,0,0.0,1.0,0.0,0.0,,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
186,180,Pierre Højbjerg,MF,dk Denmark,28-338,1995,3.9,0,7,4,57.1,1.78,1.02,0.0,0.0,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
187,181,Rasmus Højlund,FW,dk Denmark,21-155,2003,3.2,0,6,4,66.7,1.89,1.26,0.0,0.0,13.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
188,182,Ivan Ilić,MF,rs Serbia,23-113,2001,2.2,0,2,0,0.0,0.9,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
189,183,Josip Iličić,"FW,MF",si Slovenia,36-161,1988,0.3,0,1,0,0.0,2.9,0.0,0.0,,27.4,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches
190,184,Gonçalo Inácio,DF,pt Portugal,22-318,2001,1.3,0,1,0,0.0,0.76,0.0,0.0,,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
191,185,Luka Ivanušec,MF,hr Croatia,25-225,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
192,186,Erik Janža,DF,si Slovenia,31-017,1993,3.0,1,3,1,33.3,1.0,0.33,0.33,1.0,27.2,0,0,0,0.0,0.0,0.01,1.0,1.0,Matches
193,187,Jorginho,MF,it Italy,32-201,1991,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
194,188,Joselu,FW,es Spain,34-103,1990,1.0,0,3,0,0.0,3.0,0.0,0.0,,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
195,189,Diogo Jota,"FW,MF",pt Portugal,27-217,1996,1.1,0,2,1,50.0,1.8,0.9,0.0,0.0,8.6,0,0,0,0.7,0.7,0.33,-0.7,-0.7,Matches
196,190,Luka Jović,"MF,FW",rs Serbia,26-198,1997,1.1,1,1,1,100.0,0.88,0.88,1.0,1.0,6.0,0,0,0,0.2,0.2,0.19,0.8,0.8,Matches
197,191,Josip Juranović,DF,hr Croatia,28-327,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
198,192,David Jurásek,DF,cz Czechia,23-336,2000,1.8,0,4,2,50.0,2.25,1.13,0.0,0.0,25.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
199,193,Matěj Jurásek,"DF,MF",cz Czechia,20-313,2003,0.5,0,4,2,50.0,7.83,3.91,0.0,0.0,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
200,194,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-275,1999,5.0,0,2,0,0.0,0.4,0.0,0.0,,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
201,195,İrfan Kahveci,FW,tr Türkiye,28-359,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
202,196,Otar Kakabadze,"DF,MF",ge Georgia,29-011,1995,4.0,0,1,0,0.0,0.25,0.0,0.0,,22.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
203,197,Harry Kane,FW,eng England,30-346,1993,5.1,2,15,4,26.7,2.93,0.78,0.13,0.5,13.7,0,0,0,2.0,2.0,0.13,0.0,0.0,Matches
204,198,N'Golo Kanté,MF,fr France,33-101,1991,5.0,0,5,2,40.0,1.0,0.4,0.0,0.0,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
205,199,Žan Karničnik,DF,si Slovenia,29-294,1994,4.3,1,3,1,33.3,0.69,0.23,0.33,1.0,21.3,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches
206,200,Guram Kashia,DF,ge Georgia,37-004,1987,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
208,201,Milos Kerkez,DF,hu Hungary,20-244,2003,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
209,202,Semih Kılıçsoy,FW,tr Türkiye,18-328,2005,0.0,0,1,1,100.0,45.0,45.0,0.0,0.0,8.5,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
210,203,Joshua Kimmich,DF,de Germany,29-151,1995,5.3,0,7,2,28.6,1.31,0.37,0.0,0.0,25.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
211,204,Otar Kiteishvili,MF,ge Georgia,28-104,1996,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
212,205,Jakub Kiwior,DF,pl Poland,24-144,2000,3.0,0,2,2,100.0,0.67,0.67,0.0,0.0,14.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
213,206,László Kleinheisler,MF,hu Hungary,30-091,1994,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
214,207,Giorgi Kochorashvili,MF,ge Georgia,25-009,1999,4.0,0,5,0,0.0,1.25,0.0,0.0,,25.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
215,208,Orkun Kökçü,MF,tr Türkiye,23-192,2000,2.5,0,6,2,33.3,2.44,0.81,0.0,0.0,26.2,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches
216,209,Randal Kolo Muani,FW,fr France,25-216,1998,1.5,0,2,0,0.0,1.29,0.0,0.0,,13.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
217,210,Yukhym Konoplia,DF,ua Ukraine,24-317,1999,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
218,211,Ezri Konsa,DF,eng England,26-259,1997,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
219,212,Filip Kostić,DF,rs Serbia,31-250,1992,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
220,213,Jules Koundé,DF,fr France,25-239,1998,5.3,0,1,0,0.0,0.19,0.0,0.0,,14.9,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
221,214,Mateo Kovačić,MF,hr Croatia,30-063,1994,2.5,0,6,3,50.0,2.42,1.21,0.0,0.0,20.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
222,215,Matej Kovar,GK,cz Czechia,24-052,2000,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,216,Andrej Kramarić,FW,hr Croatia,33-019,1991,2.7,1,4,2,50.0,1.48,0.74,0.25,0.5,16.3,0,0,0,0.7,0.7,0.19,0.3,0.3,Matches
224,217,Ladislav Krejčí,DF,cz Czechia,25-079,1999,3.0,0,5,1,20.0,1.67,0.33,0.0,0.0,15.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
225,218,Toni Kroos,MF,de Germany,34-186,1990,5.2,0,3,1,33.3,0.58,0.19,0.0,0.0,26.0,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
226,219,Jan Kuchta,FW,cz Czechia,27-182,1997,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,220,Juraj Kucka,MF,sk Slovakia,37-133,1987,3.9,0,8,2,25.0,2.06,0.51,0.0,0.0,17.8,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
228,221,Jasmin Kurtić,FW,si Slovenia,35-180,1989,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
229,222,Khvicha Kvaratskhelia,FW,ge Georgia,23-147,2001,3.8,1,6,2,33.3,1.58,0.53,0.17,0.5,24.2,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
230,223,Nika Kvekveskiri,MF,ge Georgia,32-040,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,224,Giorgi Kvilitaia,FW,ge Georgia,30-281,1993,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
232,225,Solomon Kvirkvelia,DF,ge Georgia,32-153,1992,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
234,226,Qazim Laçi,"MF,FW",al Albania,28-171,1996,1.8,1,1,1,100.0,0.55,0.55,1.0,1.0,8.0,0,0,0,0.3,0.3,0.34,0.7,0.7,Matches
235,227,Konrad Laimer,"MF,FW",at Austria,27-042,1997,3.0,0,2,0,0.0,0.67,0.0,0.0,,13.4,0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches
236,228,Ádám Lang,DF,hu Hungary,31-173,1993,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
237,229,Aymeric Laporte,DF,es Spain,30-042,1994,3.8,0,4,1,25.0,1.04,0.26,0.0,0.0,18.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
238,230,Robin Le Normand,DF,es Spain,27-240,1996,4.0,0,2,0,0.0,0.5,0.0,0.0,,8.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
