,Player,Position,90s,xAG,NPxG,LPPA,LPrgP,LKP,LxA,LFTP,CaCPA,Att_Pen,Mid_3rd,Att_3rd,Live,npxG/Sh,SSh,SSoT,ADWon,Off
56,Sergio Camello,centre-forward,26.7,0.053932584269662916,0.1769112139237718,0.09737827715355807,0.15730337078651688,0.10486891385767792,0.06367041198501873,0.05617977528089888,0.06367041198501873,0.16211878009630815,0.4207240948813982,0.30411985018726595,0.3086142322097378,0.1769112139237718,0.28464419475655434,0.07116104868913858,0.040449438202247195,0.08239700374531836
57,Thomas Cannon,centre-forward,0.3,1.0,0.215686274509804,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.5714285714285714,0.22222222222222224,0.4,0.2666666666666667,0.215686274509804,0.33333333333333337,0.33333333333333337,0.0,0.0
58,Gianluca Caprari,second striker,27.1,0.055350553505535055,0.10028217929238119,0.22140221402214022,0.33948339483394835,0.1070110701107011,0.10332103321033209,0.2066420664206642,0.15498154981549817,0.16288877174486027,0.8216482164821648,0.42583025830258303,0.6447232472324723,0.10028217929238119,0.18450184501845018,0.04797047970479705,0.008856088560885609,0.06642066420664207
59,Francesco Caputo,centre-forward,31.2,0.051923076923076926,0.16176470588235298,0.04487179487179488,0.10256410256410259,0.09294871794871795,0.054487179487179495,0.06410256410256411,0.02243589743589744,0.20879120879120877,0.3557692307692308,0.26346153846153847,0.24256410256410263,0.161764705882353,0.1891025641025641,0.06410256410256411,0.02948717948717949,0.21794871794871798
60,Irvin Cardona,centre-forward,6.1,0.03934426229508197,0.222757955641273,0.03278688524590164,0.11475409836065575,0.049180327868852465,0.01639344262295082,0.09836065573770493,0.049180327868852465,0.19672131147540983,0.4426229508196721,0.33114754098360655,0.37770491803278694,0.222757955641273,0.21311475409836067,0.09836065573770493,0.019672131147540985,0.19672131147540986
61,Valentín Castellanos,centre-forward,28.9,0.03529411764705882,0.22837370242214536,0.11072664359861593,0.11764705882352942,0.05190311418685122,0.07958477508650519,0.05882352941176471,0.03806228373702422,0.18240237271379137,0.320645905420992,0.2373702422145329,0.2114878892733564,0.22837370242214536,0.29411764705882354,0.11072664359861593,0.07058823529411766,0.21453287197231835
62,Edinson Cavani,centre-forward,16.1,0.06335403726708073,0.14468396054073807,0.049689440993788817,0.12422360248447205,0.07453416149068323,0.06832298136645963,0.08695652173913043,0.018633540372670808,0.14374445430346047,0.4492753623188406,0.25838509316770186,0.3100621118012422,0.14468396054073807,0.19254658385093168,0.049689440993788817,0.049689440993788817,0.18633540372670807
63,Assan Ceesay,centre-forward,20.1,0.023880597014925373,0.13842551946151596,0.04975124378109452,0.07960199004975124,0.03980099502487562,0.03482587064676616,0.06467661691542288,0.03980099502487562,0.15138592750533045,0.4477611940298507,0.309452736318408,0.3502487562189054,0.13842551946151596,0.20398009950248755,0.04975124378109452,0.1253731343283582,0.21890547263681592
64,Julio César Enciso,centre-forward,9.0,0.11333333333333333,0.28758169934640526,0.2,0.3444444444444445,0.14444444444444446,0.15555555555555556,0.15555555555555556,0.18888888888888888,0.2333333333333333,0.5703703703703703,0.5066666666666666,0.5422222222222222,0.28758169934640526,0.4222222222222223,0.2,0.026666666666666665,0.06666666666666667
65,Gaëtan Charbonnier,centre-forward,2.8,0.042857142857142864,0.13865546218487398,0.3571428571428572,0.3928571428571429,0.10714285714285715,0.03571428571428572,0.1785714285714286,0.0,0.21428571428571425,0.7976190476190477,0.30714285714285716,0.5257142857142858,0.13865546218487398,0.25,0.03571428571428572,0.04285714285714286,0.2142857142857143
