,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
134,Simone Perilli,goalkeeper,1.0,0.2758620689655173,0.07600000000000001,0.910344827586207,0.30000000000000004,0.8680851063829786,0.3,0.0,0.22295719844357975,0.78,0.25851851851851854,0.6333333333333333,0.4,0.05,0.13333333333333333,0.13333333333333333,0.1,0.3,0.0
135,Mattia Perin,goalkeeper,10.5,0.367816091954023,0.008761904761904762,0.8689655172413794,0.1523809523809524,0.2948733535967578,0.3904761904761904,0.17142857142857143,0.011413748378728925,0.36,0.012663139329805997,0.4888888888888889,0.1523809523809524,0.05238095238095239,0.12698412698412698,0.10158730158730157,0.007619047619047619,0.1714285714285714,0.2857142857142857
136,Samuele Perisan,goalkeeper,7.0,0.3694581280788177,0.017714285714285714,0.8054187192118227,0.1785714285714286,0.31003039513677805,0.3122448979591837,0.1857142857142857,0.018176764869371875,0.6428571428571428,0.018148148148148146,0.638095238095238,0.28571428571428575,0.02857142857142857,0.11428571428571428,0.07142857142857142,0.00892857142857143,0.0857142857142857,0.0
137,Jordan Pickford,goalkeeper,37.0,0.5591798695246972,0.0033513513513513515,0.8359739049394223,0.3648648648648649,0.6264289821736629,0.383011583011583,0.13603603603603603,0.004522031759385844,0.5108108108108108,0.005275275275275276,0.5099099099099099,0.23783783783783785,0.07027027027027027,0.16306306306306306,0.1108108108108108,0.0018366432729729732,0.06486486486486487,0.08108108108108109
138,Nick Pope,goalkeeper,36.2,0.2981520289578967,0.0026519337016574582,0.8284435130501049,0.16574585635359115,0.2941577524391677,0.26953433307024466,0.21362799263351748,0.0035470903110690712,0.34309392265193367,0.005187231430325353,0.3784530386740331,0.3756906077348066,0.10220994475138122,0.10865561694290976,0.07826887661141804,0.0019898866936464087,0.1160220994475138,0.16574585635359115
139,Ivan Provedel,goalkeeper,37.9,0.2856882904194341,0.0026385224274406336,0.834137021199163,0.20844327176781002,0.2847807780834222,0.42254052016585,0.14599824098504838,0.003305853002474257,0.31345646437994723,0.003244405355223298,0.4335971855760774,0.2216358839050132,0.07255936675461742,0.11257695690413369,0.0870712401055409,0.002040732189973615,0.1662269129287599,0.0
140,Ghjuvanni Quilichini,goalkeeper,0.9,0.30651340996168586,0.10666666666666667,0.9195402298850576,0.3333333333333333,0.7716312056737588,0.4126984126984127,0.07407407407407407,0.1893644617380026,0.5333333333333333,0.2510288065843621,0.9259259259259259,0.888888888888889,0.0,0.14814814814814814,0.14814814814814814,0.11111111111111112,0.3333333333333333,0.0
141,Ionuț Radu,goalkeeper,26.0,0.5689655172413793,0.008615384615384617,0.847082228116711,0.2980769230769231,0.5475613747954173,0.40329670329670325,0.12692307692307692,0.005881472612990123,0.44999999999999996,0.007122507122507123,0.48717948717948717,0.3076923076923077,0.04230769230769231,0.1769230769230769,0.12564102564102564,0.0027313266442307695,0.06923076923076923,0.23076923076923078
142,Predrag Rajković,goalkeeper,36.0,0.3754789272030652,0.002777777777777778,0.8252873563218391,0.44861111111111107,0.6317730496453899,0.3567460317460317,0.11574074074074074,0.0049070471249459575,0.515,0.005555555555555556,0.562962962962963,0.35555555555555557,0.026388888888888892,0.12314814814814816,0.08518518518518518,0.0019214703425,0.09999999999999999,0.08333333333333333
143,Diant Ramaj,goalkeeper,1.0,0.3448275862068966,0.08000000000000002,0.8275862068965518,0.05,0.08680851063829786,0.3,0.23333333333333334,0.1132295719844358,0.24,0.08148148148148149,0.5,0.4,0.05,0.16666666666666666,0.13333333333333333,0.08,0.0,0.0
144,Aaron Ramsdale,goalkeeper,38.0,0.3629764065335753,0.002947368421052632,0.8221415607985482,0.14342105263157895,0.3266741321388577,0.3593984962406015,0.1526315789473684,0.0034097890640999383,0.24157894736842103,0.004795321637426901,0.3342105263157895,0.23157894736842108,0.056578947368421055,0.11929824561403508,0.0824561403508772,0.0018188854489473683,0.11052631578947368,0.0
145,Nicola Ravaglia,goalkeeper,9.0,0.685823754789272,0.011555555555555557,0.7689655172413794,0.27222222222222225,0.46619385342789593,0.35873015873015873,0.16666666666666666,0.015391266753134458,0.6599999999999999,0.015473251028806586,0.5740740740740741,0.4444444444444445,0.005555555555555556,0.23703703703703702,0.15185185185185185,0.007118055555555555,0.0,0.0
146,David Raya,goalkeeper,38.0,0.4355716878402904,0.0025263157894736842,0.8411978221415609,0.4565789473684211,0.6716237402015677,0.5139097744360902,0.14035087719298245,0.004044644685644071,0.42473684210526313,0.005048732943469786,0.5245614035087719,0.5473684210526316,0.07105263157894737,0.17280701754385963,0.1350877192982456,0.002057173390263158,0.09473684210526315,0.0
147,Pepe Reina,goalkeeper,22.0,0.45297805642633227,0.005272727272727273,0.8412225705329155,0.14545454545454548,0.2722630560928433,0.4779220779220779,0.16969696969696968,0.005093738945879024,0.3218181818181818,0.006010101010101011,0.4772727272727273,0.2727272727272727,0.045454545454545456,0.1318181818181818,0.09242424242424244,0.003187042842272727,0.06818181818181818,0.0
148,Álex Remiro,goalkeeper,38.0,0.29764065335753176,0.0025263157894736842,0.8270417422867514,0.3210526315789474,0.435565509518477,0.40977443609022557,0.12105263157894737,0.00367601884087651,0.34105263157894733,0.005,0.39736842105263154,0.18947368421052632,0.0618421052631579,0.11666666666666667,0.08684210526315789,0.001958844479736842,0.11842105263157894,0.07894736842105263
149,Manuel Riemann,goalkeeper,34.0,0.6997971602434078,0.0035294117647058825,0.8275862068965518,0.8147058823529412,1.0,0.6256302521008403,0.08137254901960785,0.0051155870908674754,0.46058823529411763,0.005511982570806101,0.5254901960784314,0.3647058823529412,0.17794117647058824,0.19607843137254904,0.12549019607843137,0.0018823529411764706,0.04411764705882353,0.2647058823529412
